position,name,left,width,top,height,light,col_centre,row_centre,blu,grn,red,X,Y,Z,x,y,z,L,A,B
T06C2,cloth,3212,290,332,290,149.8878321,3357.0,477.0,0.2517439575974619,0.3785497873707696,0.26086922218424663,0.2883815872257756,0.344370147390003,0.28939704076617895,0.312727831912293,0.3734431542755816,0.31382901381212547,0.0,128.0,128.0
T06C3,cloth,3212,290,622,290,163.0007122,3357.0,767.0,0.269057574016781,0.3900947663175598,0.2734837844368662,0.30083677836910316,0.3565589502843131,0.30747019925104696,0.31179127552205443,0.36954248250708055,0.3186662419708651,0.0,128.0,128.0
T06C4,cloth,3212,290,910,290,169.4419534,3357.0,1055.0,0.24703269582246395,0.3707782110121626,0.25568249641925866,0.2826132707272723,0.337369176131122,0.28389332001862233,0.31266826823306715,0.37324728518474065,0.3140844465821922,0.0,128.0,128.0
T06C5,cloth,3210,290,1202,290,169.9262124,3355.0,1347.0,0.26773106282229037,0.3896666412381279,0.2743020425920324,0.3007818345221823,0.3563310560812277,0.3061744012611052,0.31224520147047347,0.3699115093603302,0.31784328916919635,0.0,128.0,128.0
T06D1,cloth,3498,290,47,290,127.8808179,3643.0,192.0,0.2338793440195427,0.3512884428594651,0.23937999962729525,0.2665467683875622,0.31901458312286707,0.2687554205831814,0.3119999244944657,0.3734148661755542,0.3145852093299801,0.0,128.0,128.0
T06D2,cloth,3505,290,332,290,150.4221591,3650.0,477.0,0.24841588447369564,0.372070898402713,0.25056858823152417,0.28121581978411764,0.3373058863186698,0.28526297607090495,0.3111535582875398,0.37321487404213965,0.3156315676703206,0.0,128.0,128.0
T06D3,cloth,3505,290,622,290,165.3389205,3650.0,767.0,0.27033712480756333,0.3901728531532587,0.2730845442681043,0.3009309101383426,0.3566222382704919,0.30868775007030747,0.3114450139835793,0.3690821189951837,0.319472867021237,0.0,128.0,128.0
T06D4,cloth,3505,290,910,290,171.7253521,3650.0,1055.0,0.2597721434978441,0.3844668332121048,0.2643055515161834,0.2933633032201067,0.34991198418267283,0.29779796091846555,0.3117326985369412,0.3718222623019741,0.3164450391610847,0.0,128.0,128.0
T06D5,cloth,3510,290,1209,290,171.8961268,3655.0,1354.0,0.2517437242584964,0.3723669017940457,0.2591936475114713,0.2854795915139407,0.3395920770013951,0.2886274731323765,0.31244375582877676,0.3716672825028536,0.31588896166836977,0.0,128.0,128.0
T07A1,cloth,3902,290,48,290,126.9705546,4047.0,193.0,0.2429661390649843,0.35839963045954293,0.2407399530905728,0.2712900792066092,0.3250452292589805,0.27826452904741644,0.310187662483501,0.3716502282727062,0.31816210924379273,0.0,128.0,128.0
T07A2,cloth,3897,290,329,290,150.1042414,4042.0,474.0,0.24722256385593222,0.37610623120021885,0.2518964547047888,0.2829911255843276,0.34038803674463314,0.2846356108196376,0.3116591645343369,0.37487059331019057,0.3134702421554726,0.0,128.0,128.0
T07A3,cloth,3909,290,619,290,164.0603633,4054.0,764.0,0.2592678271372332,0.385713423107594,0.2606443386563052,0.29220796571409835,0.34998844589917505,0.2973965050327914,0.3109942194510712,0.3724894469708015,0.3165163335781273,0.0,128.0,128.0
T07A4,cloth,3903,290,907,290,168.7102353,4048.0,1052.0,0.27163389718772185,0.3985273446658698,0.27522988912176366,0.3050371242123489,0.3631468225136828,0.31095734461517616,0.3115353493003193,0.3708829621680561,0.3175816885316246,0.0,128.0,128.0
